iter	Passed	Remaining
0	0	65
1	1	62
2	1	59
3	2	54
4	2	55
5	3	56
6	4	54
7	4	54
8	5	53
9	5	53
10	6	52
11	7	53
12	7	53
13	8	52
14	9	52
15	10	53
16	10	52
17	11	52
18	12	51
19	12	51
20	13	50
21	14	51
22	14	50
23	16	51
24	16	50
25	17	50
26	18	49
27	19	49
28	19	48
29	20	47
30	21	46
31	21	46
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	42
38	26	41
39	27	41
40	28	41
41	29	40
42	30	39
43	31	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	31
54	37	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	26
61	42	26
62	43	25
63	44	24
64	45	24
65	45	23
66	46	22
67	46	22
68	47	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	67	2
96	67	2
97	68	1
98	69	0
99	69	0
