iter	Passed	Remaining
0	0	413
1	0	364
2	1	346
3	1	327
4	1	338
5	2	348
6	2	351
7	2	356
8	3	361
9	3	360
10	4	362
11	4	364
12	4	362
13	5	362
14	5	361
15	5	362
16	6	362
17	6	361
18	6	360
19	7	359
20	7	360
21	8	359
22	8	359
23	8	359
24	9	360
25	9	359
26	9	358
27	10	357
28	10	361
29	11	360
30	11	361
31	11	361
32	12	361
33	12	361
34	13	362
35	13	360
36	13	358
37	14	356
38	14	354
39	14	353
40	15	351
41	15	349
42	15	348
43	15	346
44	16	344
45	16	343
46	16	342
47	17	341
48	17	339
49	17	338
50	18	337
51	18	336
52	18	335
53	19	335
54	19	334
55	19	333
56	20	333
57	20	332
58	20	332
59	21	332
60	21	331
61	21	331
62	22	330
63	22	330
64	22	330
65	23	330
66	23	330
67	24	330
68	24	330
69	24	330
70	25	330
71	25	329
72	25	328
73	26	327
74	26	326
75	26	325
76	27	324
77	27	324
78	27	323
79	28	322
80	28	321
81	28	321
82	28	319
83	29	318
84	29	317
85	29	316
86	30	315
87	30	314
88	30	313
89	32	325
90	32	324
91	33	327
92	33	327
93	33	327
94	34	326
95	34	327
96	35	327
97	35	327
98	36	328
99	36	328
100	36	328
101	37	328
102	37	328
103	38	329
104	38	330
105	39	330
106	39	332
107	40	331
108	40	331
109	40	331
110	41	330
111	41	331
112	42	331
113	42	330
114	42	330
115	43	329
116	43	328
117	44	330
118	44	330
119	45	330
120	45	329
121	45	328
122	46	328
123	46	329
124	47	329
125	47	328
126	47	327
127	48	328
128	48	329
129	49	329
130	49	329
131	50	329
132	50	329
133	51	330
134	51	330
135	51	329
136	52	329
137	52	329
138	53	330
139	53	330
140	54	329
141	54	328
142	54	329
143	55	329
144	55	329
145	56	329
146	56	329
147	57	329
148	57	328
149	58	328
150	58	328
151	58	328
152	59	328
153	59	328
154	60	328
155	60	327
156	61	328
157	61	328
158	62	329
159	62	329
160	62	328
161	63	327
162	63	327
163	64	327
164	64	327
165	65	326
166	65	326
167	65	326
168	66	326
169	66	326
170	67	326
171	67	326
172	68	326
173	68	326
174	69	326
175	69	325
176	70	325
177	70	325
178	71	325
179	71	325
180	71	325
181	72	325
182	72	325
183	73	325
184	73	325
185	74	325
186	74	324
187	75	325
188	75	324
189	76	325
190	76	324
191	77	324
192	77	324
193	77	323
194	78	324
195	79	324
196	79	323
197	79	323
198	80	323
199	80	322
200	81	322
201	81	322
202	82	322
203	82	322
204	82	321
205	83	321
206	83	321
207	84	321
208	84	320
209	85	320
210	85	320
211	86	320
212	86	320
213	87	319
214	87	319
215	88	319
216	88	319
217	88	319
218	89	318
219	89	318
220	90	319
221	91	319
222	91	319
223	92	319
224	92	319
225	93	319
226	93	318
227	93	318
228	94	318
229	94	317
230	95	318
231	95	317
232	96	317
233	96	317
234	97	316
235	97	316
236	98	317
237	98	316
238	99	315
239	99	315
240	100	315
241	100	315
242	101	315
243	101	314
244	102	314
245	102	313
246	102	313
247	103	313
248	103	313
249	104	312
250	104	312
251	105	312
252	105	311
253	105	311
254	106	310
255	106	310
256	107	310
257	107	310
258	108	309
259	108	309
260	109	309
261	109	308
262	109	308
263	110	307
264	110	307
265	111	306
266	111	306
267	112	306
268	112	306
269	113	305
270	113	305
271	113	305
272	114	304
273	114	304
274	115	303
275	115	303
276	116	303
277	116	303
278	117	302
279	117	302
280	117	301
281	118	301
282	118	300
283	119	300
284	119	299
285	119	299
286	120	298
287	120	298
288	120	297
289	121	297
290	121	296
291	122	295
292	122	295
293	122	294
294	123	294
295	123	293
296	123	293
297	124	292
298	124	291
299	124	291
300	127	296
301	128	296
302	128	296
303	129	295
304	129	295
305	130	295
306	130	294
307	130	294
308	131	294
309	131	293
310	132	293
311	132	292
312	133	292
313	133	291
314	134	291
315	134	290
316	134	290
317	135	290
318	135	289
319	136	289
320	136	289
321	137	288
322	137	288
323	137	287
324	138	287
325	138	287
326	139	287
327	139	286
328	140	286
329	140	285
330	141	285
331	141	285
332	142	284
333	142	284
334	143	284
335	143	283
336	144	283
337	144	283
338	145	283
339	145	282
340	145	282
341	146	281
342	147	281
343	147	281
344	147	280
345	148	280
346	148	280
347	149	279
348	149	279
349	150	278
350	150	278
351	151	278
352	151	278
353	152	277
354	152	277
355	153	277
356	153	276
357	154	276
358	154	276
359	155	275
360	155	275
361	155	274
362	156	274
363	156	273
364	157	273
365	157	272
366	157	272
367	158	271
368	158	271
369	159	271
370	159	270
371	160	270
372	160	269
373	160	269
374	164	273
375	164	273
376	166	274
377	166	273
378	167	273
379	167	273
380	167	272
381	168	272
382	168	272
383	169	271
384	169	271
385	170	270
386	170	270
387	171	270
388	171	269
389	172	269
390	172	268
391	173	268
392	173	267
393	173	267
394	174	266
395	174	266
396	175	265
397	175	265
398	175	264
399	176	264
400	176	264
401	177	263
402	177	263
403	178	262
404	178	262
405	178	261
406	179	261
407	179	260
408	180	260
409	180	259
410	180	259
